Transaction_ID,Company,City,KM_Travelled,Price_Charged,Cost_of_Trip,Customer_ID,Payment_Mode,Gender,Age,Income_(USD/Month),Population,Users,date_time,Profit,Label
10319969,Pink Cab,ATLANTA GA,11.1,108.44,120.99,29494,Card,Male,28,5644," 814,885 "," 24,701 ",2018-04-17,-12.549999999999997,-12.550531
10000393,Yellow Cab,ATLANTA GA,2.14,76.6,29.7888,27440,Cash,Male,24,20462," 814,885 "," 24,701 ",2016-01-03,46.8112,46.810253
10099525,Yellow Cab,ATLANTA GA,15.21,227.55,204.4224,28137,Card,Male,36,10164," 814,885 "," 24,701 ",2016-11-05,23.1276,23.12728
10316212,Yellow Cab,ATLANTA GA,34.41,602.34,454.212,28469,Card,Male,28,25654," 814,885 "," 24,701 ",2018-04-06,148.12800000000004,148.12825
10002743,Pink Cab,ATLANTA GA,29.0,439.89,330.6,28144,Cash,Male,33,11550," 814,885 "," 24,701 ",2016-01-24,109.28999999999996,109.28998
10003119,Yellow Cab,ATLANTA GA,38.76,959.18,520.9344,27603,Card,Male,36,34113," 814,885 "," 24,701 ",2016-01-16,438.24559999999997,438.2456
10408737,Yellow Cab,ATLANTA GA,16.15,280.91,213.18,27789,Cash,Male,38,13147," 814,885 "," 24,701 ",2018-11-16,67.73000000000002,67.72967
10284365,Pink Cab,ATLANTA GA,11.88,160.55,138.996,29037,Card,Male,63,23957," 814,885 "," 24,701 ",2017-12-30,21.554000000000002,21.55363
10141688,Yellow Cab,ATLANTA GA,13.68,273.56,183.8592,27614,Cash,Male,37,2638," 814,885 "," 24,701 ",2017-02-06,89.70080000000002,89.700294
10165372,Yellow Cab,ATLANTA GA,3.36,65.19,40.32,27614,Card,Male,37,2638," 814,885 "," 24,701 ",2017-04-16,24.869999999999997,24.869059
10113677,Yellow Cab,ATLANTA GA,28.5,438.28,376.2,28042,Card,Male,34,18930," 814,885 "," 24,701 ",2016-12-02,62.079999999999984,62.080288
10004550,Yellow Cab,ATLANTA GA,10.5,178.53,131.04,29604,Cash,Female,41,10709," 814,885 "," 24,701 ",2016-01-28,47.49000000000001,47.489353
10059073,Pink Cab,ATLANTA GA,5.8,54.29,66.7,29510,Card,Female,19,23705," 814,885 "," 24,701 ",2016-08-01,-12.410000000000004,-12.410502
10069459,Pink Cab,ATLANTA GA,27.0,343.06,297.0,27856,Card,Female,60,12903," 814,885 "," 24,701 ",2016-09-06,46.06,46.059998
10162586,Pink Cab,ATLANTA GA,26.4,358.62,306.24,27183,Card,Male,18,20605," 814,885 "," 24,701 ",2017-04-14,52.379999999999995,52.380028
10005914,Yellow Cab,ATLANTA GA,42.55,799.79,531.024,27145,Card,Female,30,19296," 814,885 "," 24,701 ",2016-02-02,268.76599999999996,268.76642
10005915,Yellow Cab,ATLANTA GA,7.2,149.15,89.856,29773,Card,Male,60,17446," 814,885 "," 24,701 ",2016-02-08,59.29400000000001,59.293182
10007264,Pink Cab,ATLANTA GA,16.24,223.1,188.384,28091,Cash,Female,64,12888," 814,885 "," 24,701 ",2016-02-12,34.71600000000001,34.71578
10022060,Pink Cab,ATLANTA GA,30.51,501.18,363.069,27831,Card,Female,29,7437," 814,885 "," 24,701 ",2016-04-03,138.111,138.11105
10131463,Pink Cab,ATLANTA GA,26.78,520.66,297.258,28407,Cash,Female,29,15145," 814,885 "," 24,701 ",2016-12-31,223.402,223.40205
10389284,Yellow Cab,ATLANTA GA,8.19,133.79,106.1424,28114,Cash,Male,34,13390," 814,885 "," 24,701 ",2018-10-10,27.647599999999997,27.646982
10307381,Pink Cab,ATLANTA GA,18.08,240.26,197.072,27739,Card,Male,24,8525," 814,885 "," 24,701 ",2018-03-09,43.18799999999999,43.18757
10262901,Yellow Cab,ATLANTA GA,22.22,374.06,287.9712,28625,Card,Male,18,23907," 814,885 "," 24,701 ",2017-11-21,86.08879999999999,86.088646
10011296,Yellow Cab,ATLANTA GA,12.84,368.54,166.4064,29415,Cash,Male,20,11543," 814,885 "," 24,701 ",2016-02-21,202.13360000000003,202.13301
10011297,Yellow Cab,ATLANTA GA,36.58,844.87,517.9728,27976,Cash,Female,27,18227," 814,885 "," 24,701 ",2016-02-29,326.8972,326.89758
10011306,Yellow Cab,ATLANTA GA,31.36,842.4,376.32,28411,Cash,Female,26,18068," 814,885 "," 24,701 ",2016-02-29,466.08,466.0797
10038848,Yellow Cab,ATLANTA GA,37.74,1064.73,502.6968,27922,Cash,Male,24,15830," 814,885 "," 24,701 ",2016-05-28,562.0332000000001,562.03314
10013036,Yellow Cab,ATLANTA GA,31.0,1019.64,409.2,29766,Cash,Female,58,22894," 814,885 "," 24,701 ",2016-02-27,610.44,610.43964
